Α.Φ.Μ.,Στοιχεία Οφειλέτη,Διεύθυνση Έδρας,"Τ.Κ., Περιοχή","Βασική οφειλή Δ.Ο.Υ.,Ελεγκτικά Κέντρα",Βασική οφειλή Τελωνείων,Συνεισπραττόμενα Δημοσίου,Σύνολο Δημοσίου,Βασική οφειλή e-Ε.Φ.Κ.Α.,Συνεισπραττόμενα e-Ε.Φ.Κ.Α.,Σύνολο e-Ε.Φ.Κ.Α.,Παρατηρήσεις
094040716,ΣΕΡΒΟΣ Γ ΣΙΑ ΑΒΕΕ ΔΙΑΝΑ,ΚΑΤΟΥΝΗ 37,54625 ΘΕΣΣΑΛΟΝΙΚΗ,"3.708.366,86","44.526,26","7.237.945,56","10.990.838,68","1.030.179,14","1.924.225,29","2.954.404,43",.
094439750,ΑΛΑΡΚΟ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΤΟΥΡΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ ΠΩΛΗΣΕΩΝ ΕΙΔΩΝ ΟΙΚΙΑΚΗΣ ΧΡΗΣΗΣ,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 31,11855 ΑΘΗΝΑ,"2.127.729,78",-,"4.237.558,16","6.365.287,94","2.687.340,11","4.871.581,42","7.558.921,53",.
094313286,ΜΕΓΑΛΗ ΑΓΟΡΑ ΤΡΟΦΙΜΩΝ ΑΕ,ΜΑΛΑΚΑΣΗ 13,11143 ΑΘΗΝΑ,"4.410.431,51","358.812,74","9.154.394,60","13.923.638,85",-,-,-,.
093698891,ΥΙΟΙ Δ ΖΑΝΝΙΚΟΥ ΣΙΑ ΕΕ,ΕΘΝ ΑΝΤΙΣΤΑΣΕΩΣ 171,16122 ΚΑΙΣΑΡΙΑΝΗ,"5.067.576,65",-,"8.811.178,98","13.878.755,63",-,-,-,.
094207895,ΑΛΛΑΤΙΝΗ ΕΤΑΙΡΕΙΑ ΔΗΜΗΤΡΙΑΚΩΝ Β ΕΛΛΑΔΟΣ ΑΒΕΕ ΕΙΔΩΝ ΔΙΑΤΡΟΦΗΣ ΑΝΤΙΠΡΟΣ ΔΙΑΝΟΜΩΝ ΤΕΧΝΙΚΩΝ ΤΟΥΡΙΣΤΙΚΩΝ,ΕΠΕΚΤΑΣΗ ΘΑΛΗΤΟΣ 0,54646 ΘΕΣΣΑΛΟΝΙΚΗ,"7.222.895,52",-,"6.655.135,49","13.878.031,01",-,-,-,.
096000253,ΕΝΩΣΗ ΓΕΩΡΓ ΣΥΝΕΤΑΙΡΙΣΜΩΝ ΛΑΓΚΑΔΑ,Μ ΑΛΕΞΑΝΔΡΟΥ 1,57200 ΛΑΓΚΑΔΑΣ,"3.301.306,38",-,"4.385.238,05","7.686.544,43","2.438.776,77","3.721.909,19","6.160.685,96",.
094079820,ΑΓΑΠΙΟΥ ΣΠΥΡΟΣ Α Ε ΒΙΟΜΗΧΑΝΙΑ ΥΠΟΔΗΜΑΤΩΝ,ΠΛΟΥΤΩΝΟΣ 17,12241 ΑΙΓΑΛΕΩ,"4.910.629,48",-,"8.924.466,90","13.835.096,38",-,-,-,.
099493165,ΑΦΟΙ ΓΕΩΡΓΙΟΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΠΕΡΙΣΥΛΛΟΓΗΣ ΕΠΕΞΕΡΓΑΣΙΑΣ ΚΑΙ ΜΕΤΑΠΟΙΗΣΗΣ ΠΑΛΑΙΩΝ ΣΙΔΗΡΩΝ ΚΑΙ ΜΕΤΑΛΛΩΝ,2ΧΙΛ ΞΑΝΘΗΣ ΚΑΒΑΛΑΣ 0,67100 ΞΑΝΘΗ,"5.206.954,18",-,"7.883.320,91","13.090.275,09","288.287,15","422.744,50","711.031,65",.
082101502,ΠΑΝΑΓΙΩΤΗΣ ΔΕΛΗΓΙΩΡΓΗΣ-ΣΙΑ,ΑΝΔΡ ΓΕΩΡΓΙΟΥ 13,54627 ΘΕΣΣΑΛΟΝΙΚΗ,"4.592.724,02",-,"9.185.490,28","13.778.214,30",-,-,-,.
094109853,Μ ΤΟΥΓΙΑΣ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΔΥΟΒΟΥΝΙΩΤΟΥ 26,11741 ΑΘΗΝΑ,"7.089.268,04",-,"6.676.752,00","13.766.020,04",-,-,-,.
997522520,B2B GAMING SERVICES MALTA LIMITED,ΟΦΙΟΥΝΤΟΣ 9,11142 ΑΘΗΝΑ,"8.789.216,33",-,"4.966.034,90","13.755.251,23",-,-,-,.
094095752,ΒΛΑΧΟΥ ΑΦΟΙ ΜΕΒΙΚΑΤ ΑΒΕΤΕ,ΡΗΓΑ ΦΕΡΑΙΟΥ 15,57008 ΔΙΑΒΑΤΑ,"2.961.144,77",-,"6.465.345,79","9.426.490,56","1.533.185,05","2.774.116,03","4.307.301,08",.
094185179,ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΡΩΤΟΤΥΠΙΩΝ ΚΑΙ ΣΥΣΚΕΥΑΣΙΑΣ ΤΡΟΦΙΜΩΝ ΑΕ,ΠΑΤΗΣΙΩΝ 14,10677 ΑΘΗΝΑ,"5.425.652,33",-,"7.369.099,33","12.794.751,66","393.069,28","531.261,23","924.330,51",.
094520030,ΗΡΑΚΛΗΣ ΚΑΛΑΘΟΣΦΑΙΡΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΑΓ ΔΗΜΗΤΡΙΟΥ 159Β,54634 ΘΕΣΣΑΛΟΝΙΚΗ,"4.877.847,41",-,"8.832.037,65","13.709.885,06",-,-,-,.
094084504,ΠΕΤΡΕΛΑΙΚΗ ΔΡΑΜΑΣ,ΒΟΡΑΖΑΝΗ 3,66100 ΔΡΑΜΑ,"4.566.255,46",-,"9.131.914,13","13.698.169,59",-,-,-,.
095078360,ΠΙΤΡΙΑ ΕΠΕ,Λ ΣΥΓΓΡΟΥ 44,11742 ΑΘΗΝΑ,"3.422.550,14",-,"10.266.413,91","13.688.964,05",-,-,-,.
095746667,ΒΙΟΜΗΧΑΝΙΚΑ ΕΡΓΑ ΕΠΕ,ΣΑΚΙΣΛΗ ΔΙΑΒΑΤΩΝ 0,57008 ΔΙΑΒΑΤΑ,"6.031.583,69",-,"3.040.317,66","9.071.901,35","2.093.589,99","2.520.344,79","4.613.934,78",.
095437060,ΟΚΤΑΣΕΡΒΙΣ ΕΠΕ,ΘΕΜΙΔΟΣ 25 Β,18233 ΑΓ Ι ΡΕΝΤΗΣ,"7.187.620,84",-,"5.887.043,64","13.074.664,48","212.136,02","388.548,67","600.684,69",.
094128984,ΔΙΑΔΗΜ ΕΚΤΥΠΩΤΙΚΗ ΔΙΑΦΗΜΙΣΤΙΚΗ Α Ε,ΠΕΤΡΟΥ ΡΑΛΛΗ 10,11855 ΑΘΗΝΑ,"3.317.039,54",-,"5.982.838,75","9.299.878,29","1.709.712,85","2.665.396,56","4.375.109,41",.
094051210,ΛΥΡΑ ΑΕΒΕΠ,ΔΕΚΕΛΕΙΑΣ 100,13671 ΑΧΑΡΝΕΣ,"3.613.065,68",-,"7.350.531,55","10.963.597,23","982.954,94","1.726.634,93","2.709.589,87",.
095245222,ΠΡΟΒΙΖΙΟΝΣ ΕΠΕ,4 ΧΛΜ ΛΕΩΦ ΤΙΤΑΝ ΜΑΓΟΥΛΑΣ 0,19600 ΜΑΝΔΡΑ,"4.811.527,04",-,"8.837.439,26","13.648.966,30",-,-,-,.
094012754,ΑΝΩΝΥΜΟΣ ΜΕΤΑΞΟΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΒΟΜΒΥΞ ΠΒ ΣΒΟΛΟΠΟΥΛΟΣ ΚΑΙ ΧΡ ΚΟΥΤΡΟΥΜΠΗΣ,ΕΡΜΟΥ 52,10563 ΑΘΗΝΑ,"3.514.899,61","13.499,84","10.102.984,91","13.631.384,36",-,-,-,.
094072671,ΚΩΝ  ΚΑΡΔΑΣΙΛΑΡΗΣ ΚΑΙ ΥΙΟΙ ΑΕΒΕ ΞΗΡΩΝ ΚΑΡΠΩΝ,ΚΑΡΑΓΙΩΡΓΗ ΣΕΡΒΙΑΣ 2,11855 ΑΘΗΝΑ,"3.990.293,61","941.401,74","4.626.661,48","9.558.356,83","2.269.523,47","1.777.665,76","4.047.189,23",.
094059010,COMMERCIAL VALUE ΚΟΜΜΕΡΣΙΑΛ ΒΑΛΙΟΥ ΑΝΩΝΥΜΗ ΑΣΦΑΛΙΣΤΙΚΗ ΕΤΑΙΡΙΑ,ΒΑΣΙΛΙΣΗΣ ΣΟΦΙΑΣ 60,11528 ΑΘΗΝΑ,"6.162.132,44",-,"6.599.724,99","12.761.857,43","379.932,13","460.869,64","840.801,77",.
094321667,Μ  ΤΣΙΡΕΚΑΣ Α Ε  ΠΛΕΚΤΟΒΙΟΜΗΧΑΝΙΑ,13ΧΙΛ ΕΘΝ ΑΘΗΝ ΛΑΜ 0,14452 ΜΕΤΑΜΟΡΦΩΣΗ,"5.294.057,83",-,"8.302.876,93","13.596.934,76",-,-,-,.
800614614,ALPHA TERRANOVA ΓΕΝΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΜΑΡΝΗΣ 33,10432 ΑΘΗΝΑ,"9.219.506,20",-,"4.362.657,46","13.582.163,66",-,-,-,.
094002380,YORKSHIRE ΕΛΛΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ   ΧΗΜΙΚΑ,ΕΛ ΒΕΝΙΖΕΛΟΥ 3,12351 ΑΓ ΒΑΡΒΑΡΑ,"5.159.099,05",-,"8.404.966,29","13.564.065,34",-,-,-,.
800175176,ΑΓΝΟ ΒΙΟΜΗΧΑΝΙΑ ΓΑΛΑΚΤΟΣ ΑΕ,14 ΧΛΜ ΘΕΣΣΑΛΟΝΙΚΗΣ ΛΑΓΚΑΔΑ 0,57200 ΛΑΓΚΑΔΑΣ,"3.446.729,26",-,"1.640.074,75","5.086.804,01","4.732.265,98","3.744.293,94","8.476.559,92",.
997652443,ΟΠΩΡΟΚΗΠΕΥΤΙΚΑ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,16ΧΛΜ ΠΕΟ ΘΕΣΣΑΛΟΝΙΚΗΣ ΑΓ ΑΘΑΝΑΣΙΟΥ 0,57011 ΓΕΦΥΡΑ,"9.730.652,92",-,"3.774.846,37","13.505.499,29",-,-,-,.
999860657,ΛΑΜΔΑ ΝΑΥΣ ΝΑΥΠΗΓΕΙΑ ΑΝΩΝΥΜΗ Ε,ΜΑΡΙΑΣ ΚΙΟΥΡΙ 396,18863 ΠΕΡΑΜΑ,-,-,-,-,"5.960.495,70","7.537.914,78","13.498.410,48",.
094154824,T V GROUP A E,ΑΚΡΙΤΑ 9,18410 ΝΙΚΑΙΑ,"4.472.644,83",-,"9.015.167,10","13.487.811,93",-,-,-,.
095680404,COSMOFASHION ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,ΟΛΥΜ ΔΙΑΜΑΝΤΗ 14,54626 ΘΕΣΣΑΛΟΝΙΚΗ,"6.631.691,66",-,"6.855.095,61","13.486.787,27",-,-,-,.
098084974,VERGINA FERRIES LIMITED,Κ  ΠΑΛΑΙΟΛΟΓΟΥ ΙΑ 124,16561 ΓΛΥΦΑΔΑ,"5.237.168,39","261,28","8.248.917,62","13.486.347,29",-,-,-,.
094283855,ΕΥΣΤΑΘΙΑΔΗΣ GROUP ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΙΣΑΓΩΓΕΣ ΕΚΔΟΣΕΙΣ ΕΜΠΟΡΙΑ ΒΙΒΛΙΩΝ,ΔΡΑΚΟΝΤΟΣ 88,10442 ΑΘΗΝΑ,"5.938.559,63",-,"7.175.432,07","13.113.991,70","156.470,01","158.569,89","315.039,90",.
094395240,ΧΑΛΥΒΟΔΟΜΗ ΑΝΩΝΥΜ ΕΜΠΟΡΕΤΑΙΡ ΥΛΙΚΩΝ   ΜΗΧΑΝΗΜΑΤΩΝ,ΑΛΕΞ ΠΑΝΑΓΟΥΛΗ 45,15236 Π ΠΕΝΤΕΛΗ,"4.448.936,06",-,"8.979.120,98","13.428.057,04",-,-,-,.
081405550,ΦΩΤΟΣ ΤΣΙΜΕΝΤΟΠΡΟΙΟΝΤΑ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΛΑΡΙΣΗΣ ΤΕΡΜΑ 1 ΧΛΜ ΚΑΡΔΙΤΣΑΣ ΑΘΗΝΩΝ 0,43100 ΚΑΡΔΙΤΣΑ,"7.606.703,78",-,"5.795.606,51","13.402.310,29",-,-,-,.
092265750,ΓΥΑΛΙΔΗ ΑΦΟΙ ΟΕ,ΚΡΙΕΖΗ 4,65302 ΚΑΒΑΛΑ,"4.468.357,56",-,"8.933.567,38","13.401.924,94",-,-,-,.
094139777,ΜΠΕΤΟΜΑΡ ΑΕ ΠΡΟΙΟΝΤΑ ΤΣΙΜΕΝΤΟΥ ΚΑΤΑΣΚΕΥΕΣ,ΠΛΑΣΤΗΡΑ 2,16673 ΒΟΥΛΑ,"2.851.949,33",-,"5.697.985,92","8.549.935,25","1.675.102,16","3.169.989,14","4.845.091,30",.
094140094,ΑΒΕΕ PIGGY ABEE,ΚΟΛΟΚΟΤΡΩΝΗ 14,14568 ΚΡΥΟΝΕΡΙ,"6.857.465,10",-,"6.517.487,27","13.374.952,37",-,-,-,.
999074622,EUROFARM ΕΛΛΑΣ ΧΟΝΔΡΙΚΟ ΕΜΠΟΡΙΟ ΠΤΗΝΟΤΡΟΦΙΚΩΝ ΠΡΟΙΟΝΤΩΝ ΕΜΠΟΡΙΑ ΕΙΔΩΝ SUPER MARKET KAI ΗΛΕΚΤΡΟΝ ΕΙΔΩ,ΓΡΑΒΙΑΣ 13Β,14451 ΜΕΤΑΜΟΡΦΩΣΗ,"9.090.485,61",-,"4.273.645,47","13.364.131,08",-,-,-,.
094369313,ΤΥΡΟΚΟΜΙΚΑ ΚΑΤΣΙΜΠΕΡΗΣ ΑΕ,7 ΧΛΜ ΛΑΡ ΦΑΛΑΝΗΣ 0,41500 ΛΑΡΙΣΑ,"4.826.021,54",-,"8.531.167,01","13.357.188,55",-,-,-,.
094398566,ΕΛΛΗΝΙΚΑ ΣΩΛΗΝΟΥΡΓΕΙΑ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΔΡΟΣΙΑ ΧΑΛΚΙΔΑΣ 0,34100 ΧΑΛΚΙΔΑ,"2.306.232,15","1.755.500,72","4.869.273,66","8.931.006,53","2.422.818,65","2.002.969,78","4.425.788,43",.
095566712,ΑΛ ΧΡΥΣΑΚΗΣ-ΕΠΕ,ΑΡΡΙΑΝΟΥ 31,11635 ΑΘΗΝΑ,"5.303.973,64",-,"8.040.709,15","13.344.682,79",-,-,-,.
800542491,MEDICAL LOGISTICS ΦΑΡΜΑΚΑΠΟΘΗΚΗ   ΜΟΝΟΠ ΙΔΙΩΤ ΚΕΦΑΛ ΕΤΑΙΡΕΙΑ,ΝΕΑ ΠΕΛΛΑ 0,58005 ΠΕΛΛΑ,"9.844.860,48",-,"3.492.832,99","13.337.693,47",-,-,-,.
095127266,ELECOMP   ΣΥΣΤΗΜΑΤΑ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ ΕΠΕ,ΕΛ ΒΕΝΙΖΕΛΟΥ 46,17671 ΚΑΛΛΙΘΕΑ,"4.429.880,07",-,"8.854.649,45","13.284.529,52",-,-,-,.
094372016,ΒΑΣΙΛΕΙΟΣ Ι ΘΩΙΔΗΣ ΧΟΤΕΛΙΑ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ,ΣΕΙΧ ΣΟΥ 0,56610 ΣΥΚΙΕΣ,"2.704.624,23",-,"2.289.262,59","4.993.886,82","4.737.404,44","3.547.994,75","8.285.399,19",.
094233298,ΕΛΑΙΟΥΡΓΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΕ,ΒΡΕΤΤΟΥ 25,13600 ΑΧΑΡΝΕΣ,"5.321.447,93",-,"7.918.675,22","13.240.123,15",-,-,-,.
094094374,ΠΟΝΤΟΣ ΠΡΟΤΥΠΟΣ ΟΡΓΑΝ ΝΗΜΑΤΟΥΡΓ ΤΕΛΙΟΠ,ΚΑΡΟΛΟΥ 27,10437 ΑΘΗΝΑ,"4.086.431,89",-,"8.380.195,68","12.466.627,57","263.253,95","498.546,62","761.800,57",.
094256379,ΠΑΡΑΤΗΡΗΤΗΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΕΚΔΟΣΕΩΝ ΕΠΙΚΟΙΝΩΝΙΑΣ,30 ΧΛΜ ΒΙΠΕ ΛΑΚΩΜΑΤΟΣ 0,63200 Ν ΜΟΥΔΑΝΙΑ,"6.849.178,19",-,"5.442.985,63","12.292.163,82","352.242,51","583.436,01","935.678,52",.
094055582,ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΤΕΧΝΙΚΗ  ΤΟΥΡΙΣΤΙΚΗ  ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ  ΝΑΥΤΙΛΙΑΚΗ  ΕΤΑΙΡΙΑ  ΦΙΛΙΠΠΟΥ Δ,5 ΧΙΛ ΘΕΣΣΑΛΟΝΙΚΗΣ  ΒΕΡΟΙΑΣ 00,54500 ΘΕΣΣΑΛΟΝΙΚΗ,"6.014.146,51",-,"5.744.953,41","11.759.099,92","534.473,09","932.860,47","1.467.333,56",.
998307946,ΕΣΤΙΑ ΔΟΜΙΚΑ ΥΛΙΚΑ ΑΦΕΝΤΟΥΛΙΔΗΣ ΣΑΒ ΕΥΓΕΝΙΟΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ,ΒΑΣ ΟΛΓΑΣ 263,54655 ΘΕΣΣΑΛΟΝΙΚΗ,"10.102.284,91",-,"3.120.182,50","13.222.467,41",-,-,-,.
094151219,ΕΠΙΚΕΝΤΡΟΣ,ΡΙΖΑΡΕΙΟΥ 3,15233 ΧΑΛΑΝΔΡΙ,"5.090.287,61",-,"8.124.895,26","13.215.182,87",-,-,-,.
094236909,ΗΧΟΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΑ ΑΣΦΑΛΕΙΑ ΑΒΕΕ,1 ΧΙΛΙΟΜΕΤΡΟ ΗΡΑΚΛΕΙΟΥ ΜΟΙΡΩΝ 0,71500 ΗΡΑΚΛΕΙΟ,"4.402.227,23",-,"8.804.076,00","13.206.303,23",-,-,-,.
095451539,ΕΥΡΩΠΑΙΚΗ ΓΡΑΜΜΗ ΕΠΕ,ΕΥΡΙΠΙΔΟΥ 18,10559 ΑΘΗΝΑ,"4.364.678,66",-,"8.824.019,55","13.188.698,21",-,-,-,.
094248945,ΕΥΡΩΕΚΤΥΠΩΤΙΚΗ AE,ΠΑΝΕΠΙΣΤΗΜΙΟΥ 44,10679 ΑΘΗΝΑ,"4.225.798,81",-,"8.472.631,82","12.698.430,63","179.870,92","309.580,37","489.451,29",.
094504552,ΙΝΤΡΑ ΚΟΝΝΕΚΤ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΠΑΡΟΧΗΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΩΝ ΥΠΗΡΕΣΙΩΝ ΕΤΑΙΡΕΙΑ,ΚΛΕΙΣΟΥΡΑΣ 5,14452 ΜΕΤΑΜΟΡΦΩΣΗ,"4.395.039,19",-,"8.785.885,33","13.180.924,52",-,-,-,.
099918995,ΒΙΟΚΟΤ ΠΑΡΑΓΩΓΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΤΘ 1054 ΑΛΕΞΠΟΛΗ 2 ΧΙΛ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ ΑΒΑΝΤΟΣ 0,68100 ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,"6.012.264,50",-,"3.487.089,55","9.499.354,05","2.349.116,06","1.328.026,24","3.677.142,30",.
094347972,ΚΟΤΟΝ ΠΑΛΑΜΑΣ ΑΒΕΟΤΑΕ,ΠΑΛΑΜΑΣ 0,43200 ΠΑΛΑΜΑΣ,"4.097.310,28",-,"8.196.860,30","12.294.170,58","305.616,76","575.816,38","881.433,14",.
099937868,ΚΕΝΤΡΟ ΣΥΝΕΔΡΙΩΝ ΚΑΙ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΑΕ,ΔΕΚΕΛΕΙΑΣ 112,13671 ΑΧΑΡΝΕΣ,"5.208.713,79",-,"5.557.665,39","10.766.379,18","1.298.436,63","1.102.633,62","2.401.070,25",.
094175531,ΙΡΙΣ ΑΚΙΝΗΤΑ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΑΘΑΝΑΣΙΟΥ ΔΙΑΚΟΥ 19,41222 ΛΑΡΙΣΑ,"8.873.114,90",-,"4.291.260,35","13.164.375,25",-,-,-,.
099030712,ΤΡΙΒΙΑΛ ΕΠΕ,ΣΥΡΑΚΟΥΣΩΝ 84,11142 ΑΘΗΝΑ,"4.353.773,50",-,"8.804.465,87","13.158.239,37",-,-,-,.
094378254,MOBILE TRADE STORES ΑΝΩΝΥΜΗ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΥΠΗΡΕΣΙΩΝ ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΣ ΚΑΙ ΕΦΑΡΜΟΓΩΝ,ΛΕΩΦΟΡΟΣ ΣΤΡΑΤΟΥ 32,54640 ΘΕΣΣΑΛΟΝΙΚΗ,"4.435.686,93",-,"4.804.059,21","9.239.746,14","1.988.800,88","1.915.197,77","3.903.998,65",.
094265825,ΕΛΑΙΟΛΑΔΑ ΚΑΛΑΜΑΤΑΣ ΑΕ,ΝΜΑΝΔΗΛΑΡΑ 17,24100 ΚΑΛΑΜΑΤΑ,"6.425.827,34",-,"6.698.382,94","13.124.210,28",-,-,-,.
094025880,ΔΑΜΙΓΟΣ ΣΠΥΡΟΣ ΚΗΜ ΑΕ,6Ο ΧΙΛΩΡΑΙΟΚΑΣΤΡΟ 0,54000 ΘΕΣΣΑΛΟΝΙΚΗ,"4.169.807,18","396,12","8.932.007,41","13.102.210,71",-,-,-,.
094531935,ΠΡΕΣΤΙΖ ΓΚΡΟΥΠ ΔΙΟΙΚΗΣΗΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΣΥΓΓΡΟΥ 154,17671 ΚΑΛΛΙΘΕΑ,"6.480.690,05",-,"6.570.938,39","13.051.628,44",-,-,-,.
800391021,L E A INNOVAZIONE S R L,Λ ΑΛΕΞΑΝΔΡΑΣ 207,11523 ΑΘΗΝΑ,-,"10.363.507,36","2.683.068,28","13.046.575,64",-,-,-,.
094327819,SAT BOX ΕΠΙΚΟΙΝΩΝΙΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΝΕΟΚΛΕΟΥΣ 4,11743 ΑΘΗΝΑ,"6.844.272,95",-,"5.676.021,25","12.520.294,20","221.944,14","277.225,73","499.169,87",.
094029214,ALPHA KERAMICA ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΙΑ,5 ΧΙΛ ΛΑΡΙΣΑΣ ΣΥΚ 0,41222 ΛΑΡΙΣΑ,"6.121.201,50",-,"4.755.596,44","10.876.797,94","1.043.470,63","1.085.991,96","2.129.462,59",.
099878540,SILVER MEDIA GROUP ΑΝΩΝ ΕΤΑΙΡ ΑΝΤΙΠΡΟΣ ΕΙΣ ΕΞ ΕΜΠΟΡ ΚΑΙ ΠΑΡΑΓ DVD ΒΙΝΤΕΟΚ ΚΙΝΗΜΑΤΟΓΡΑΦ ΤΑΙΝΙΩ CD ΗΛΕ,ΔΩΔΕΚΑΝΗΣΟΥ  3ΟΣ ΟΡΟΦΟΣ 16,17456 ΑΛΙΜΟΣ,"7.698.996,92",-,"5.287.476,58","12.986.473,50",-,-,-,.
095314152,TAS SHIPPING CO LTD,ΑΛΚΙΒΙΑΔΟΥ 109,18532 ΠΕΙΡΑΙΑΣ,"2.000,00","4.291.827,56","8.672.146,68","12.965.974,24",-,-,-,.
094225919,ΦΙΣΚΟΠ ΤΕΧΝΙΚΑ ΑΕ,ΒΙΠΕ ΛΑΡΙΣΑΣ 0,41500 ΛΑΡΙΣΑ,"2.922.035,93",-,"4.254.193,12","7.176.229,05","2.209.181,38","3.573.483,94","5.782.665,32",.
093616214,Σ ΜΑΝΩΛΑΣ ΚΑΙ ΣΙΑ ΕΕ,ΟΜΗΡΟΥ 43,17121 Ν ΣΜΥΡΝΗ,"4.435.655,53",-,"8.008.418,46","12.444.073,99","181.919,27","311.001,75","492.921,02",.
998923233,ΕΛΛΕΝΙΚ ΙΜΠΙΡΙΑΛ ΑΝΩΝΥΜΗ ΑΕΡΟΠΟΡΙΚΗ ΕΤΑΙΡΙΑ,Λ ΒΟΥΛΙΑΓΜΕΝΗΣ 22,16777 ΕΛΛΗΝΙΚΟ,"363.351,03",-,"358.675,23","722.026,26","5.947.787,48","6.253.714,27","12.201.501,75",.
097548450,ΚΟΙΝ ΑΦΟΙ ΚΟΥΛΟΓΙΑΝΝΗ ΟΕ-ΕΥΑΓ ΚΟΥΛΟΓΙΑΝΝΗΣ-ΣΙΑ ΟΕ,ΕΥΕΛΠΙΔΩΝ ΜΟΥΣΤΟΞΥΔΗ 0,11473 ΑΘΗΝΑ,"4.236.418,59",-,"8.680.412,90","12.916.831,49",-,-,-,.
095736312,ΒΙΟΤΕΧΝΙΑ ΕΜΠΟΡΙΑ ΚΑΙ ΕΙΣΑΓΩΓΗ ΕΙΔΥΠΟΔ ΕΝΔ ΕΠΕ,ΚΥΝΟΥΡΙΑΣ 91,16561 ΓΛΥΦΑΔΑ,"6.536.420,43",-,"4.839.286,08","11.375.706,51","581.087,70","926.295,37","1.507.383,07",.
094047729,ΕΛΛΑΣ ΕΛΕΚΤΡΙΚ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΙΑ Α Β Ε Τ Ε,ΜΟΝΑΣΤΗΡΙΟΥ 363,54628 ΘΕΣΣΑΛΟΝΙΚΗ,"4.646.335,91",-,"7.542.272,13","12.188.608,04","244.153,34","448.043,66","692.197,00",.
095489923,GEBA ΕΠΕ,Ν ΠΛΑΣΤΗΡΑ 278,13562 ΑΓ ΑΝΑΡΓΥΡΟΙ,"4.127.673,19",-,"8.741.514,21","12.869.187,40",-,-,-,.
095530217,ORACOM ΣΥΣΤΗΜΑΤΑ ΠΛΗΡΟΦΟΡΙΚΗΣ ΕΠΕ,ΤΥΣΣΑΝΔΡΟΥ 25,16341 ΗΛΙΟΥΠΟΛΗ,"7.516.944,80",-,"5.321.350,27","12.838.295,07",-,-,-,.
