A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
94006194,ΖΑΑΕ ΧΗΜΙΚΑ ΕΡΓΟΣΤΑΣΙΑ ΑΕ,Δ Ο ΣΚΥΛΙΤΣΗ 60,18533 ΠΕΙΡΑΙΑΣ,-,-,-,-,"1.523.813,10","2.896.291,78","4.420.104,88",.,"(37.945559, 23.6575103)"
92247129,ΤΣΑΓΚΑΡΗ ΑΦΟΙ,ΠΑΡΘΕΝΙΟΝ 0,57007 ΧΑΛΚΗΔΟΝΑ,"1.150.845,35",-,"3.268.011,08","4.418.856,43",-,-,-,.,"(40.7322277, 22.5979872)"
998774223,ΔΝΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΤΕΧΝΟΛΟΓΙΑΣ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΕΝΕΡΓΕΙΑΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ,ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ 62,13671 ΑΧΑΡΝΕΣ,"1.089.125,71",-,"762.900,07","1.852.025,78","1.140.916,23","1.422.794,68","2.563.710,91",.,"(38.1043271, 23.7433383)"
93227116,ΑΦΟΙ ΜΟΥΝΤΖΕΛΗ ΕΕ,Κ ΑΚΡΙΤΑ 1,55236 ΠΑΝΟΡΑΜΑ,"2.835.546,06",-,"1.577.901,15","4.413.447,21",-,-,-,.,"(40.5758836, 23.0076912)"
94313330,ΤΟΥΡΙΣΤΙΚΕΣ ΞΕΝΟΔ/ΚΕΣ ΝΑΥΤΙΛΙΑ,ΘΕΣΗ ΚΟΥΚΟΥΝΑΡΙΕΣ 0,37002 ΣΚΙΑΘΟΣ,-,-,-,-,"1.542.514,98","2.870.744,04","4.413.259,02",.,"(39.15261110000001, 23.4054314)"
91513788,ΑΦΟΙ ΓΕΩΡΓΙΟΣ ΔΗΜΗΤΡΙΟΣ ΡΟΙΔΗΣ ΟΕ,ΒΙΠΕ ΣΙΝΔΟΥ 0,57400 ΣΙΝΔΟΣ,"1.634.594,83",-,"837.207,20","2.471.802,03","741.716,70","1.198.678,90","1.940.395,60",.,"(40.6717484, 22.8015209)"
94183395,ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΕΙΑ ΕΚΤΥΠΩΣΕΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΚΗΦΙΣΟΥ 18,10442 ΑΘΗΝΑ,"518.785,44",-,"765.337,30","1.284.122,74","1.421.960,90","1.705.662,95","3.127.623,85",.,"(37.9965329, 23.695462)"
95762458,ΝΕΦΕΛΗ ΤΑΠΕΤΣΑΡΙΕΣ ΕΜΠΟΡΙΚΗ ΕΠΕ ΣΕ ΕΚΚΑΘΑΡΙΣΗ,ΚΑΝΑΡΗ 12  ΚΑΙ  ΣΜΥΡΝΗΣ 0,15354 ΓΛΥΚΑ ΝΕΡΑ,"888.448,74",-,"1.727.941,57","2.616.390,31","641.574,86","1.152.821,65","1.794.396,51",.,"(37.9841456, 23.8495052)"
95670435,CHAMPION ΑΝΑΤΟΛΗ ΑΝΩΝΥΜΗ ΙΔΙΩΤ,ΑΓΙΑΣ ΕΛΕΟΥΣΗΣ 2,12351 ΑΓ ΒΑΡΒΑΡΑ,-,-,-,-,"2.010.028,26","2.400.028,45","4.410.056,71",.,"(37.9903818, 23.6593726)"
95360666,ΟΙΝΟΧΥΜ,ΧΙΛΙΟΜΟΔΙ 0,20008 ΧΙΛΙΟΜΟΔΙ,"2.535.863,43",-,"1.873.862,27","4.409.725,70",-,-,-,.,"(37.8116578, 22.869699)"
94142180,Δ ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΣΤΑΔΙΟΥ 46,10564 ΑΘΗΝΑ,"1.196.002,73",-,"1.586.648,16","2.782.650,89","751.250,70","875.687,47","1.626.938,17",.,"(37.9815922, 23.7304183)"
93587251,MULTICOSMO ΝΤΡΑΓΚΑΝ ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΜΕΤΑΞΑ 11,16675 ΓΛΥΦΑΔΑ,"1.460.769,97",-,"2.944.137,06","4.404.907,03",-,-,-,.,"(37.852223, 23.7567053)"
998385334,ΔΗΜΟΚΡΑΤΙΚΟΣ ΤΥΠΟΣ ΕΙΔΗΣΕΟΓΡΑΦ,ΕΡΑΤΟΣΘΕΝΟΥΣ 1 ΚΑΙ  ΒΑΣ ΚΩΝΝΟΥ 0,11635 ΑΘΗΝΑ,-,-,-,-,"2.778.502,89","1.624.394,60","4.402.897,49",.,"(37.9708908, 23.741363)"
94112439,TOP ELEMENT ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΤΕΧΝΙΚΩΝ ΚΑΙ ΤΕΧΝΟΛΟΓΙΚΩΝ ΚΑΤΑΣΚΕΥΩΝ ΚΤΙΡΙΑΚΩΝ ΣΥΓΚΡΟΤΗΜΑΤΩΝ,ΙΘΑΚΗΣ 13,15233 ΧΑΛΑΝΔΡΙ,"1.417.028,18",-,"1.638.101,22","3.055.129,40","645.913,78","697.806,47","1.343.720,25",.,"(38.0306393, 23.7948101)"
82400890,ΜΩΡΑΚΗΣ ΔΗΜ ΚΑΙ ΝΙΚ ΟΕ,ΜΕΛΙΤΑΣ 7,12461 ΧΑΙΔΑΡΙ,"1.018.608,17","446.780,82","2.930.267,54","4.395.656,53",-,-,-,.,"(38.0142485, 23.667048)"
999124316,ΒΙΟΛΙΔΗΣ ΗΛΙΑΣ ΠΡΕΝΤΡΑΓΚ ΣΤΟΓΙΑΚΟΒΙΤΣ ΑΝΩΝΥΝΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ ΕΚΜΕΤΑΛΛΕΥΣΗ ΚΑΦΕ ΜΠΑΡ ΕΣΤΙΑΤΟΡΙΩΝ Κ,ΔΗΜΟΣΘΕΝΟΥΣ 5 ΚΑΙ ΚΑΛΑΠΟΘΑΚΗ 0,54623 ΘΕΣΣΑΛΟΝΙΚΗ,"1.383.133,61",-,"976.131,21","2.359.264,82","953.240,62","1.081.438,98","2.034.679,60",.,"(40.6330322, 22.9401098)"
94229838,ΑΚΜΩΝ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΤΕΧΝΙΚΗ ΚΑΙ ΤΟΥΡΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΚΑΠΟΔΙΣΤΡΙΟΥ 7,15237 ΦΙΛΟΘΕΗ,"1.708.465,69",-,"2.684.152,93","4.392.618,62",-,-,-,.,"(38.02450899999999, 23.7879513)"
95200136,ΣΑΡΦΟ,ΜΑΚΡΑΣ ΣΤΟΑΣ 1,18531 ΠΕΙΡΑΙΑΣ,"1.691.680,09",-,"2.700.128,08","4.391.808,17",-,-,-,.,"(37.9451661, 23.6447118)"
800404868,MY CARS EXPERT ΣΥΝΕΡΓΕΙΟ ΑΥΤΟΚΙΝΗΤΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,Κ ΤΣΑΛΔΑΡΗ 48 50,11476 ΑΘΗΝΑ,"2.981.192,16",-,"1.409.945,42","4.391.137,58",-,-,-,.,"(37.997585, 23.7507087)"
999719895,FERRO ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΤΕΧΝΙΚΗ ΚΑΙ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ ΕΜΠΟΡΙΑ ΚΑΙ ΑΝΑΚΥΚΛΩΣΗ ΣΙΔΗΡΟΥ ΠΛΑΣΤΙΚΟΥ ΓΥΑΛ,ΘΕΜΙΣΤΟΚΛΕΟΥΣ 5,57008 ΔΙΑΒΑΤΑ,"2.785.133,11",-,"1.603.122,75","4.388.255,86",-,-,-,.,"(40.691127, 22.8572593)"
94294347,ΙΟΝΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΕΜΠΟΡΙΑΣ ΚΑΙ ΤΥΠΟΠΟΙΗΣΗΣ ΕΛΑΙΟΛΑΔΟΥ,ΕΘΝΙΚΗ ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑΣ 52Β,49100 ΚΕΡΚΥΡΑ,"1.635.733,04",-,"2.747.570,60","4.383.303,64",-,-,-,.,"(39.6227843, 19.9002577)"
800455881,Γ ΚΟΥΚΟΥΤΣΑΚΗΣ ΚΑΙ ΣΙΑ Ε Ε,ΘΕΣΗ ΠΕΛΕΚΑΠΙΝΑ 0,73100 ΧΑΝΙΑ,"3.128.997,12",-,"1.253.212,50","4.382.209,62",-,-,-,.,"(35.42874380000001, 24.025014)"
999502100,ΓΕΩΡΓΙΟΣ ΔΡΑΓΑΣΙΑΣ ΚΑΙ ΣΙΑ ΟΕ,Μ ΑΛΕΞΑΝΔΡΟΥ ΚΑΙ ΜΗΤ ΒΑΡΝΑΒΑ ΓΩΝΙΑ 81,60100 ΚΑΤΕΡΙΝΗ,"2.313.040,42",-,"2.066.270,99","4.379.311,41",-,-,-,.,"(40.2702495, 22.5121487)"
94060291,ΑΝΩΝΥΜΟΣ ΞΕΝΟΔΟΔΟΧΕΙΑΚΗ ΚΑΙ ΤΟΥΡΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ ΑΣΤΥ ΑΕ,ΠΥΡΡΑΣ 4,11745 ΑΘΗΝΑ,"2.413.086,48",-,"775.045,38","3.188.131,86","869.817,51","319.409,20","1.189.226,71",.,"(37.9569721, 23.7178667)"
92361880,Β ΚΥΡΙΑΚΙΔΗΣ Ν ΠΑΛΑΖΗΣ ΟΕ,ΑΔΡΙΑΝΟΥΠΟΛΕΩΣ 35,55133 ΚΑΛΑΜΑΡΙΑ,"1.455.132,89",-,"2.915.133,21","4.370.266,10",-,-,-,.,"(40.58599410000001, 22.9564731)"
82969468,REDWOOD AEBE ΕΙΔΩΝ ΕΝΔΥΣΕΩΣ ΚΑΙ ΥΠΟΔYΣΕΩΣ,ΚΑΘΟΔΟΣ 3,33100 ΑΜΦΙΣΣΑ,"2.331.146,36",-,"2.039.106,56","4.370.252,92",-,-,-,.,"(38.5276679, 22.3781527)"
95328107,ΔΙΟΝΥΣΙΟΣ ΚΑΠΑΡΕΛΗΣ ΑΝΑΣΤΑΣΙΟΣ ΠΑΠΑΘΑΝΑΣΟΠΟΥΛΟΣ ΕΠΕ,28ΗΣ ΟΚΤΩΒΡΙΟΥ Ρ ΦΕΡΡΑΙΟΥ 0,27100 ΠΥΡΓΟΣ,"2.002.829,39",-,"2.364.994,95","4.367.824,34",-,-,-,.,"(37.6702425, 21.4307385)"
95585413,ΣΤΡΑΤΗΣ ΠΕΤΡΟΣ ΕΠΕ,ΜΕΣΟΛΟΓΓΙΟΥ 41,17456 ΑΛΙΜΟΣ,"2.237.659,42",-,"2.127.973,13","4.365.632,55",-,-,-,.,"(37.9241185, 23.7377823)"
99770900,ΚΟΤΤΟΝ ΓΚΑΡΝΤΕΝ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΔΥΜΑΤΩΝ,ΠΟΝΤΟΥ 35,54454 ΘΕΣΣΑΛΟΝΙΚΗ,"1.503.850,70",-,"2.861.411,97","4.365.262,67",-,-,-,.,"(40.610646, 22.9725035)"
999671860,ΧΑΡΑΛΑΜΠΟΣ ΣΑΠΟΥΡΙΔΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΤΘ 201 ΤΡΙΚΑΛΩΝ 6,57013 ΩΡΑΙΟΚΑΣΤΡΟ,"3.010.191,22",-,"1.354.912,65","4.365.103,87",-,-,-,.,"(40.7206664, 22.9041506)"
94018678,ΛΕΒΕΝΤΗΣ ΑΕ ΑΝΩΝ ΕΤΑΙΡΕΙΑ ΕΜΠΟΡΙΑΣ ΚΡΕΑΤΩΝ,ΜΕΝΑΝΔΡΟΥ 39,10439 ΑΘΗΝΑ,"2.365.191,00",-,"1.997.084,47","4.362.275,47",-,-,-,.,"(37.9830161, 23.7249698)"
94381652,ΑΔΑΜΗΣ ΑΝ ΒΙΟΜ ΚΑΙ ΕΜΠ ΕΤ ΙΧΘΥΟΣΚΕΥΑΣΜΑΤΩΝ,ΔΓΟΥΝΑΡΗ 21-2,18531 ΠΕΙΡΑΙΑΣ,"1.301.887,39",-,"1.986.306,53","3.288.193,92","377.160,44","695.613,01","1.072.773,45",.,"(37.9447711, 23.6432507)"
94059267,ΗΛΙΑΣ ΛΑΖΟΣ ΚΑΙ ΥΙΟΙ ΑΕ ΨΥΓΕΙΑ ΠΑΓΟΠΟΙΕΙΑ ΔΙΑΛΟΓΗΤΗΡΙΑ ΟΙΝΟΠΟΙΕΙΑ ΚΟΝΣΕΡΒΟΠΟΙΕΙΑ ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ,ΠΑΤΡΙΔΑ ΗΜΑΘΙΑΣ 0,59100 ΒΕΡΟΙΑ,"1.070.103,33","216.158,14","2.454.149,37","3.740.410,84","213.255,37","401.442,32","614.697,69",.,"(40.5115162, 22.2148981)"
90274228,ΠΑΝΑΘΛΗΤΙΚΟΣ ΑΝΑΜΟΡΦΩΤΙΚΟΣ ΟΜΙΛΟΣ Ν ΕΠΙΒΑΤΩΝ,23 ΧΛΜ ΘΕΣΝΙΚΗΣ ΜΗΧΑΝΙΩΝΑΣ ΑΝΩΘΕΝ Σ Μ ΜΑΣΟΥΤΗ 0,57019 Ν ΕΠΙΒΑΤΕΣ,"2.125.178,54",-,"2.228.825,61","4.354.004,15",-,-,-,.,"(40.501666, 22.9101631)"
95368191,ΕΠΙΧΕΙΡΗΣΕΙΣ ΕΜΠΟΡΙΟΥ ΕΠΕ,ΜΕΤΩΝΟΣ 63,15561 ΧΟΛΑΡΓΟΣ,"2.495.312,43",-,"1.856.051,72","4.351.364,15",-,-,-,.,"(38.0015887, 23.7917536)"
94221773,ΛΑΤΟΜΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΖΩΙΤΣΑ ΑΝΩΝΥΜΟΣ ΛΑΤΟΜΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΘΕΣΙΣ ΜΑΚΙΛΙΑΡΙ 0,19400 ΚΟΡΩΠΙ,"3.275.927,74",-,"1.075.317,31","4.351.245,05",-,-,-,.,"(37.9011442, 23.8726503)"
94474893,ΕΛΛΗΝΙΣΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΜΠΟΡΙΑΣ ΕΙΔΩΝ ΕΝΔΥΣΕΩΣ KAI ΕΚΜΕΤΑΛΛΕΥΣΗΣ ΧΩΡΩΝ ΑΝΑΨΥΧΗΣ,34 ΣΥΝΤΑΓΜΑΤΟΣ ΠΕΖΙΚΟΥ 4,18531 ΠΕΙΡΑΙΑΣ,"1.154.480,79",-,"2.291.706,79","3.446.187,58","338.405,74","563.864,45","902.270,19",.,"(37.9482281, 23.6507975)"
94499040,ΕΠΕΛΑΣΙΣ ΕΙΣΑΓΩΓΙΚΗ ΕΞΑΓΩΓΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΤΕΧΝΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,17ΧΛΜ ΑΘΗΝ ΛΑΜΙΑΣ  ΚΑΙ ΓΑΛΗΝΗΣ 0,14564 ΚΗΦΙΣΙΑ,"1.401.105,18",-,"2.336.754,20","3.737.859,38","225.917,74","382.864,19","608.781,93",.,"(38.0998617, 23.8113455)"
94508458,ΑΝΩΝΥΜΗ ΨΥΧΑΓΩΓΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΕΚΜΕΤΑΛΛΕΥΣΕΩΣ ΑΥΤΟΚΙΝΗΤΩΝ ΚΑΡΤ ΚΑΙ ΕΙΔΩΝ ΕΝΔΥΣΗΣ,Λ ΠΟΣΕΙΔΩΝΟΣ 0,16777 ΕΛΛΗΝΙΚΟ,"902.294,89",-,"1.292.292,02","2.194.586,91","868.328,15","1.282.620,76","2.150.948,91",.,"(37.9020708, 23.7198745)"
94206782,ΑΘΗΝΑΙΚΑ ΖΑΧΑΡΟΠΛ ΕΣΤΙΑΤΟΡΙΑ Α,ΑΓ ΤΡΙΑΔΟΣ Ν ΖΙΧΝΗΣ 15,13671 ΑΧΑΡΝΕΣ,-,-,-,-,"2.618.839,80","1.722.198,42","4.341.038,22",.,"(38.0854867, 23.7399347)"
998306452,ASTRA AIRLINES ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΑΕΡΟΠΟΡΙΚΗ ΕΤΑΙΡΙΑ,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ 0,57001 ΘΕΡΜΗ,"2.049.003,63","13.500,00","479.760,92","2.542.264,55","1.387.204,27","411.177,09","1.798.381,36",.,"(40.5204227, 22.9716758)"
999074136,ΑΝΔΡΕΑΣ ΑΝΔΡΙΟΠΟΥΛΟΣ ΚΑΙ ΣΙΑ ΟΕ,ΖΑΙΜΗ 26,14342 Ν ΦΙΛΑΔΕΛΦΕΙΑ,"2.580.348,29",-,"1.756.906,71","4.337.255,00",-,-,-,.,"(37.9477515, 23.6676102)"
82171123,FELP ΧΡΗΣΤΟΣ ΛΙΑΝΑΣ ΚΑΙ ΣΙΑ ΕΕ,ΓΡΑΜΜΟΥ 232,52100 ΚΑΣΤΟΡΙΑ,"1.503.003,13",-,"2.832.663,72","4.335.666,85",-,-,-,.,"(40.508606, 21.2535808)"
94106980,ΒΑΦΕΙΑ ΦΙΝΙΡΙΣΤΗΡΙΑ ΑΞΙΟΥΠΟΛΗΣ,ΑΞΙΟΥΠΟΛΗ 0,61400 ΑΞΙΟΥΠΟΛΗ,"1.738.913,36",-,"2.060.100,91","3.799.014,27","233.620,69","301.482,77","535.103,46",.,"(40.9862518, 22.5406929)"
94026906,ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ ΓΕΝΙΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ ΤΟΥΡΙΣΜΟΥ ΚΑΙ ΑΥΤΟΚΙΝΗΤΩΝ ΩΤΟΠΟΛ AUTOPOL ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΑΓΗΣΙΛΑΟΥ 11 ΚΑΙ ΔΕΛΗΓΙΩΡΓΗ 9,10437 ΑΘΗΝΑ,"3.083.825,23",-,"1.249.466,03","4.333.291,26",-,-,-,.,"(37.982625, 23.7236599)"
99874969,ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΣΥΝΔΙΑΣΜΕΝΩΝ ΜΕΤΑΦΟΡΩΝ ΚΑΙ ΑΠΟΘΗΚΕΥΣΕΩΝ,ΘΕΣΗ ΣΚΑΡΑΜΑΓΚΑ 0,12400 ΧΑΙΔΑΡΙ,"2.337.484,14",-,"1.986.821,17","4.324.305,31",-,-,-,.,"(38.0113874, 23.6027231)"
99048346,ΛΑΖΑΡΟΣ ΑΡΣΕΝΙΔΗΣ  ΚΑΙ  ΣΙΑ ΟΕ,ΝΟΤΑΡΑ 126-128,18536 ΠΕΙΡΑΙΑΣ,"876.190,65",-,"1.490.384,94","2.366.575,59","899.352,63","1.056.787,34","1.956.139,97",.,"(37.93956319999999, 23.6421853)"
94278673,PROMOTOR ΔΙΑΦΗΜΙΣΤΙΚΗ ΑΤΕ,7ΧΛΜ ΕΟ ΑΘΗΝ ΛΑΜΙΑ 0,14341 Ν ΦΙΛΑΔΕΛΦΕΙΑ,"1.540.488,48",-,"2.782.210,32","4.322.698,80",-,-,-,.,"(38.033916, 23.737403)"
94530270,ΑΓΡΟΤΕΞ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΙΚΗ ΕΤΑΙΡΙΑ ΑΓΡΟΤΙΚΩΝ,ΒΕΝΙΖΕΛΟΥ 20,54624 ΘΕΣΣΑΛΟΝΙΚΗ,"1.884.322,18",-,"2.436.424,83","4.320.747,01",-,-,-,.,"(40.5973157, 22.9827697)"
99908584,ΛΟΥΚΑΣ ΚΑΡΑΛΗΣ ΚΑΙ ΣΙΑ ΟΕ,ΑΘΗΝΩΝ 15,32100 ΛΕΙΒΑΔΙΑ,"212.596,66",-,"402.663,96","615.260,62","1.280.938,41","2.423.907,18","3.704.845,59",.,"(38.4392327, 22.8819564)"
999640925,Κ ΜΠΑΛΛΗΣ ΚΑΤΑΝΑΛΩΤΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΚΕΝΤΡΑ ΑΙΣΘΗΤΙΚΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΣΚΛΗΠΙΟΥ 13,14568 ΚΡΥΟΝΕΡΙ,"7.000,04","1.516.557,79","1.989.897,48","3.513.455,31","408.612,89","397.536,30","806.149,19",.,"(38.1371558, 23.8368737)"
999643638,ΕΥΡΩΜΟΝΩΣΗ ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΔΗΜΗΤΡΑΣ 20,15342 ΑΓ ΠΑΡΑΣΚΕΥΗ,"918.063,28",-,"1.390.546,47","2.308.609,75","879.656,30","1.129.411,04","2.009.067,34",.,"(38.0103025, 23.8298464)"
91277683,ΙΔΙΩΤΙΚΟ ΕΚΠΑΙΔΕΥΤΗΡΙΟ ΒΥΖΑΝΤΙ,28Η ΟΚΤΩΒΡΙΟΥ 17,16233 ΒΥΡΩΝΑΣ,-,-,-,-,"1.689.749,03","2.627.568,78","4.317.317,81",.,"(37.9522487, 23.7648481)"
93738487,Π.ΑΝΑΣΤΑΣΙΟΥ ΚΑΙ ΣΙΑ ΟΕ,ΕΘΝ ΑΝΤΙΣΤΑΣΕΩΣ 16,12134 ΠΕΡΙΣΤΕΡΙ,"1.791.420,07",-,"1.958.121,20","3.749.541,27","199.516,46","367.700,42","567.216,88",.,"(38.0126194, 23.6930174)"
81964740,ΑΦΟΙ ΑΘΑΝ  ΒΥΛΛΙΩΤΗ Ο Ε,5ΟΝ ΧΛΜ ΘΗΒΩΝ ΜΟΥΡ 0,32200 ΘΗΒΑ,"643.840,33","966.427,53","2.703.736,82","4.314.004,68",-,-,-,.,"(38.322579, 23.3204309)"
94178000,ΕΛ ΕΣ ΑΙ ΤΕΧΝΟΛΟΓΙΕΣ ΠΛΗΡ,ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ 169,11527 ΑΘΗΝΑ,"2.306.600,18",-,"2.005.986,51","4.312.586,69",-,-,-,.,"(37.9852294, 23.7640867)"
94338730,ΠΑΡΝΑΣΣΟΣ ΒΙΟΜΗΧΑΝΙΑ ΓΑΛΑΚΤΟΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΣΣ ΔΑΥΛΕΙΑΣ 0,32100 ΛΕΙΒΑΔΙΑ,"1.278.239,10",-,"1.988.716,59","3.266.955,69","409.527,20","633.864,34","1.043.391,54",.,"(38.4381493, 22.8692583)"
95437674,ΓΙΟΥΝΙΣΕΤ ΓΡΑΦΙΚΕΣ ΤΕΧΝΕΣ ΕΠΕ,ΜΑΥΡΟΜΙΧΑΛΗ 4,15354 ΓΛΥΚΑ ΝΕΡΑ,"2.536.465,64",-,"1.772.328,94","4.308.794,58",-,-,-,.,"(37.9985813, 23.8490613)"
94333003,ΑΖΕΛ ΑΝ ΒΙΟΜ ΕΤ ΠΑΡΑΓΩΓΗΣ ΑΜΥΛΟΥ ΚΑΙ ΖΥΜΩΝ,Δ ΟΜ ΣΚΥΛΙΤΣΗ 60,18533 ΠΕΙΡΑΙΑΣ,"1.280.365,35",-,"994.390,95","2.274.756,30","701.013,75","1.332.790,03","2.033.803,78",.,"(37.945559, 23.6575103)"
94024151,ΑΛΦΑ ΕΝΕΡΓΕΙΑΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,ΑΠ  ΠΑΥΛΟΥ 4,15123 ΜΑΡΟΥΣΙ,"1.471.202,97",-,"2.833.452,95","4.304.655,92",-,-,-,.,"(38.033422, 23.7901768)"
998655965,ΘΩΜΑΣ ΣΤΕΦΑΝΑΚΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΙΔΟΜΕΝΕΩΣ 24,13122 ΙΛΙΟΝ,"461.619,95","1.835.080,85","2.006.492,59","4.303.193,39",-,-,-,.,"(38.0318264, 23.7099408)"
95709579,ΚΡΕΑΤΑΓΟΡΑ ΠΕΙΡΑΙΑ ΑΕΒΕ,ΙΙ ΜΕΡΑΡΧΙΑΣ 11,18535 ΠΕΙΡΑΙΑΣ,"1.462.637,67",-,"2.353.568,48","3.816.206,15","230.311,89","255.452,16","485.764,05",.,"(37.9429857, 23.6469832)"
94080161,ΒΙΟΜΗΧΑΝΙΑ ΠΡΟΚΑΤΑΣΚΕΥΑΣΜΕΝΩΝ ΠΥΡΙΜΑΧΩΝ ΔΙΑΧΩΡΙΣΤΙΚΩΝ ΚΑΙ ΑΝΤΙΠΡΟΣΩΠΕΙΩΝ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,Λ ΧΑΤΖΗΚΥΡΙΑΚΟΥ 15,18537 ΠΕΙΡΑΙΑΣ,"1.002.560,73",-,"1.683.249,88","2.685.810,61","555.887,33","1.059.214,70","1.615.102,03",.,"(37.9361099, 23.6397635)"
95423750,ΣΠΥΡΙΔΩΝ Ε ΜΑΓΡΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,ΒΙΠΕΘ ΣΙΝΔΟΥ 7ΝΒ,57400 ΣΙΝΔΟΣ,"2.765.759,59",-,"946.682,39","3.712.441,98","280.392,59","307.984,61","588.377,20",.,"(40.6717484, 22.8015209)"
94266883,ΒΙΚΕΛΙΔΗΣ   ΧΡΥΣΑΝΘΙΔΗΣΑΒΕΕ,ΝΕΑ ΚΑΡΒΑΛΗ 0,64006 Ν ΚΑΡΒΑΛΗ,-,-,-,-,"2.400.651,93","1.895.769,15","4.296.421,08",.,"(40.9604407, 24.5105061)"
997522452,ONLINE AMUSEMENT SOLUTIONS NV,ΕΠΑΜΕΙΝΩΝΔΑ 2,13671 ΑΧΑΡΝΕΣ,"2.827.620,94",-,"1.462.394,09","4.290.015,03",-,-,-,.,"(38.0974618, 23.7340681)"
96000081,ΕΝΩΣΗ ΑΓΡΟΤΙΚΩΝ ΣΥΝΕΤΑΙΡΙΣΜΩΝ ΑΠΟΚΟΡΩΝΟΥ ΣΦΑΚΙΩΝ,ΒΑΜΟΣ 0,73008 ΒΑΜΟΣ,"1.497.313,44",-,"1.813.936,25","3.311.249,69","458.632,85","520.083,12","978.715,97",.,"(35.4169596, 24.2271616)"
